2025-01-01 10:10:58,115 - DEBUG - Starting light curve processing pipeline...
2025-01-01 10:10:58,116 - DEBUG - Processing file: Data_Download_Module/data/raw/TIC_269400564.fits
2025-01-01 10:10:58,148 - DEBUG - Initial shapes - Time: (17140, 2), Flux: (17140,), Flux Err: (17140,)
2025-01-01 10:10:58,150 - DEBUG - Flattened shapes - Time: (17140,), Flux: (17140,), Flux Err: (17140,)
2025-01-01 10:10:58,207 - DEBUG - Loaded backend agg version v2.2.
2025-01-01 10:10:58,223 - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2025-01-01 10:10:58,224 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2025-01-01 10:10:58,225 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-01 10:10:58,225 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-01 10:10:58,225 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-01 10:10:58,225 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-01 10:10:58,226 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-01-01 10:10:58,227 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-01 10:10:58,228 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-01-01 10:10:58,229 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-01 10:10:58,229 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-01-01 10:10:58,230 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-01 10:10:58,231 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-01 10:10:58,231 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-01 10:10:58,231 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2025-01-01 10:10:58,232 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-01 10:10:58,233 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-01 10:10:58,235 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-01 10:10:58,237 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
