2025-01-01 18:20:40,514 - ERROR - Usage: python generate_plot.py <results_path>
2025-01-01 18:24:53,358 - DEBUG - Loaded results from Analyze_Module/results/TIC_90702417_processed_results.json: Period=0.2499905696287177, Duration=0.01, Depth=11179.144210166849, Power=57014186.80569959
2025-01-01 18:24:53,367 - DEBUG - Loaded backend agg version v2.2.
2025-01-01 18:24:53,390 - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2025-01-01 18:24:53,390 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2025-01-01 18:24:53,390 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-01 18:24:53,391 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-01 18:24:53,391 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-01 18:24:53,391 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-01 18:24:53,391 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-01-01 18:24:53,391 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-01 18:24:53,391 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-01-01 18:24:53,391 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-01 18:24:53,391 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-01-01 18:24:53,392 - DEBUG - findfont: score(FontEntry(fname='/home/sm/Projects/Exoplanet_Transit_Detector/venv/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
